"YEAR","GEOID","lhs","he","sc","bm","NAME"
1950,25025060101,1740,950,65,140,"Census Tract 601.01"
1950,25025060200,1075,730,90,65,"Census Tract 602"
1950,25025060301,1965,1015,130,100,"Census Tract 603.01"
1950,25025060400,2864,1194,240,156,"Census Tract 604"
1950,25025060501,2520,880,200,75,"Census Tract 605.01"
1950,25025060601,721,212,8,12,"Census Tract 606.01"
1950,25025060602,52,15,1,1,"Census Tract 606.02"
1950,25025060603,32,9,0,1,"Census Tract 606.03"
1950,25025060604,103,30,1,2,"Census Tract 606.04"
1950,25025060700,660,845,112,40,"Census Tract 607"
1950,25025060800,3045,755,93,65,"Census Tract 608"
1950,25025061000,1625,930,160,105,"Census Tract 610"
1950,25025061101,861,571,225,89,"Census Tract 611.01"
1950,25025061201,1162,297,130,85,"Census Tract 612.01"
1950,25025061202,,,,,"Census Tract 612.02"
1950,25025061203,543,112,4,46,"Census Tract 612.03"
1950,25025061204,104,21,1,9,"Census Tract 612.04"
1950,25025070102,232,23,8,13,"Census Tract 701.02"
1950,25025070103,11,1,0,1,"Census Tract 701.03"
1950,25025070104,88,9,3,5,"Census Tract 701.04"
1950,25025070201,573,182,44,67,"Census Tract 702.01"
1950,25025070202,1297,221,55,56,"Census Tract 702.02"
1950,25025070301,1579,585,181,166,"Census Tract 703.01"
1950,25025070302,975,361,113,104,"Census Tract 703.02"
1950,25025070402,1729,422,27,36,"Census Tract 704.02"
1950,25025070501,1996,401,97,63,"Census Tract 705.01"
1950,25025070502,3449,589,153,92,"Census Tract 705.02"
1950,25025070600,2985,860,100,105,"Census Tract 706"
1950,25025070700,1615,365,130,110,"Census Tract 707"
1950,25025070801,719,220,47,40,"Census Tract 708.01"
1950,25025070802,2006,615,133,110,"Census Tract 708.02"
1950,25025070901,1053,240,65,49,"Census Tract 709.01"
1950,25025070902,1777,405,110,83,"Census Tract 709.02"
1950,25025071101,2366,698,304,348,"Census Tract 711.01"
1950,25025071201,2350,512,61,66,"Census Tract 712.01"
1950,25025080100,1840,558,78,30,"Census Tract 801"
1950,25025080300,1890,715,145,90,"Census Tract 803"
1950,25025080401,3109,715,111,46,"Census Tract 804.01"
1950,25025080500,2960,674,124,64,"Census Tract 805"
1950,25025080601,2546,705,169,73,"Census Tract 806.01"
1950,25025080801,1826,926,157,252,"Census Tract 808.01"
1950,25025080900,1705,847,141,181,"Census Tract 809"
1950,25025081001,2260,1330,290,275,"Census Tract 810.01"
1950,25025081101,450,254,72,46,"Census Tract 811.01"
1950,25025081102,948,529,146,93,"Census Tract 811.02"
1950,25025081200,1716,824,121,77,"Census Tract 812"
1950,25025081301,703,371,58,56,"Census Tract 813.01"
1950,25025081302,982,519,82,79,"Census Tract 813.02"
1950,25025081400,2997,1085,185,185,"Census Tract 814"
1950,25025081500,2063,902,131,127,"Census Tract 815"
1950,25025081700,3522,1557,284,234,"Census Tract 817"
1950,25025081800,2130,1075,175,130,"Census Tract 818"
1950,25025081900,2473,1410,375,269,"Census Tract 819"
1950,25025082000,1975,1325,225,280,"Census Tract 820"
1950,25025082100,2085,1725,340,345,"Census Tract 821"
1950,25025090100,2625,1665,380,430,"Census Tract 901"
1950,25025090200,1025,650,160,140,"Census Tract 902"
1950,25025090300,2210,1025,220,115,"Census Tract 903"
1950,25025090400,3080,1395,180,115,"Census Tract 904"
1950,25025090600,2255,610,45,60,"Census Tract 906"
1950,25025090700,2818,1303,115,100,"Census Tract 907"
1950,25025090901,738,476,66,53,"Census Tract 909.01"
1950,25025091001,992,639,89,72,"Census Tract 910.01"
1950,25025091100,2520,1240,160,130,"Census Tract 911"
1950,25025091200,1470,810,215,145,"Census Tract 912"
1950,25025091300,1770,625,60,85,"Census Tract 913"
1950,25025091400,1545,780,150,130,"Census Tract 914"
1950,25025091500,1965,1295,130,155,"Census Tract 915"
1950,25025091600,1560,885,125,105,"Census Tract 916"
1950,25025091700,1415,855,155,105,"Census Tract 917"
1950,25025091800,1925,1025,140,170,"Census Tract 918"
1950,25025091900,1710,1225,195,230,"Census Tract 919"
1950,25025092000,2275,1505,255,215,"Census Tract 920"
1950,25025092101,2975,1630,315,215,"Census Tract 921.01"
1950,25025092200,1215,1075,240,270,"Census Tract 922"
1950,25025092300,1335,955,155,240,"Census Tract 923"
1950,25025092400,2480,1835,350,390,"Census Tract 924"
1950,25025100100,2675,1800,225,265,"Census Tract 1001"
1950,25025100200,1715,1030,165,155,"Census Tract 1002"
1950,25025100300,1515,1210,165,60,"Census Tract 1003"
1950,25025100400,1765,1215,350,355,"Census Tract 1004"
1950,25025100500,2340,2080,425,370,"Census Tract 1005"
1950,25025100601,2352,1427,325,159,"Census Tract 1006.01"
1950,25025100603,903,548,125,61,"Census Tract 1006.03"
1950,25025100700,1975,1340,215,125,"Census Tract 1007"
1950,25025100800,1875,1400,355,320,"Census Tract 1008"
1950,25025100900,1199,859,345,182,"Census Tract 1009"
1950,25025101001,1246,1036,261,152,"Census Tract 1010.01"
1950,25025101002,1145,946,244,141,"Census Tract 1010.02"
1950,25025101101,1512,963,300,44,"Census Tract 1011.01"
1950,25025101102,2100,1320,430,48,"Census Tract 1011.02"
1950,25025110104,681,520,77,84,"Census Tract 1101.04"
1950,25025110105,800,569,81,84,"Census Tract 1101.05"
1950,25025110106,454,341,49,53,"Census Tract 1101.06"
1950,25025110201,559,246,57,19,"Census Tract 1102.01"
1950,25025110301,806,544,68,61,"Census Tract 1103.01"
1950,25025110401,1109,807,162,153,"Census Tract 1104.01"
1950,25025110403,1296,943,190,179,"Census Tract 1104.03"
1950,25025110501,1368,1034,245,191,"Census Tract 1105.01"
1950,25025110502,1502,1136,270,209,"Census Tract 1105.02"
1950,25025110601,660,746,179,182,"Census Tract 1106.01"
1950,25025110607,1496,1692,405,412,"Census Tract 1106.07"
1950,25025120103,442,345,90,168,"Census Tract 1201.03"
1950,25025120104,661,516,135,251,"Census Tract 1201.04"
1950,25025120105,711,555,145,270,"Census Tract 1201.05"
1950,25025120201,1762,921,126,74,"Census Tract 1202.01"
1950,25025120301,2535,1370,180,205,"Census Tract 1203.01"
1950,25025120400,2570,1895,445,495,"Census Tract 1204"
1950,25025120500,1295,635,90,20,"Census Tract 1205"
1950,25025120600,1165,885,180,180,"Census Tract 1206"
1950,25025120700,676,593,127,114,"Census Tract 1207"
1950,25025130101,1193,1261,383,538,"Census Tract 1301.01"
1950,25025130200,1352,1439,397,557,"Census Tract 1302"
1950,25025130300,1186,1288,360,632,"Census Tract 1303"
1950,25025130402,977,618,153,102,"Census Tract 1304.02"
1950,25025130404,495,305,75,44,"Census Tract 1304.04"
1950,25025130406,888,532,136,64,"Census Tract 1304.06"
1950,25025140102,893,517,139,46,"Census Tract 1401.02"
1950,25025140105,745,432,116,39,"Census Tract 1401.05"
1950,25025140106,482,279,75,25,"Census Tract 1401.06"
1950,25025140107,549,318,86,29,"Census Tract 1401.07"
1950,25025140201,532,385,81,87,"Census Tract 1402.01"
1950,25025140202,1403,1015,214,228,"Census Tract 1402.02"
1950,25025140300,2260,1110,275,175,"Census Tract 1403"
1950,25025140400,1845,1175,285,265,"Census Tract 1404"
1950,25025980101,,,,,"Census Tract 9801.01"
1950,25025980300,,,,,"Census Tract 9803"
1950,25025980700,,,,,"Census Tract 9807"
1950,25025980900,,,,,"Census Tract 9809"
1950,25025981000,,,,,"Census Tract 9810"
1950,25025981100,,,,,"Census Tract 9811"
1950,25025981201,,,,,"Census Tract 9812.01"
1950,25025981202,,,,,"Census Tract 9812.02"
1950,25025981300,,,,,"Census Tract 9813"
1950,25025981501,,,,,"Census Tract 9815.01"
1950,25025981502,,,,,"Census Tract 9815.02"
1950,25025981600,,,,,"Census Tract 9816"
1950,25025981700,,,,,"Census Tract 9817"
1950,25025981800,,,,,"Census Tract 9818"
1950,25025981900,,,,,"Census Tract 9819"
1960,25025000101,790,339,60,53,"Census Tract 1.01"
1960,25025000102,929,399,71,63,"Census Tract 1.02"
1960,25025000201,1152,1065,316,230,"Census Tract 2.01"
1960,25025000202,1194,1105,327,239,"Census Tract 2.02"
1960,25025000301,742,572,180,218,"Census Tract 3.01"
1960,25025000302,735,566,179,216,"Census Tract 3.02"
1960,25025000401,1222,1210,495,558,"Census Tract 4.01"
1960,25025000402,756,749,306,345,"Census Tract 4.02"
1960,25025000502,1118,1029,449,432,"Census Tract 5.02"
1960,25025000503,480,442,193,185,"Census Tract 5.03"
1960,25025000505,422,388,169,163,"Census Tract 5.05"
1960,25025000506,563,518,226,217,"Census Tract 5.06"
1960,25025000601,1017,790,206,220,"Census Tract 6.01"
1960,25025000603,518,403,105,112,"Census Tract 6.03"
1960,25025000604,846,657,171,183,"Census Tract 6.04"
1960,25025000701,1250,903,319,326,"Census Tract 7.01"
1960,25025000703,679,490,173,177,"Census Tract 7.03"
1960,25025000704,1371,991,350,357,"Census Tract 7.04"
1960,25025000804,689,354,82,191,"Census Tract 8.04"
1960,25025000805,851,437,101,236,"Census Tract 8.05"
1960,25025000806,401,206,48,111,"Census Tract 8.06"
1960,25025000807,366,188,44,102,"Census Tract 8.07"
1960,25025010103,213,193,145,382,"Census Tract 101.03"
1960,25025010104,319,290,217,574,"Census Tract 101.04"
1960,25025010204,760,673,400,426,"Census Tract 102.04"
1960,25025010205,591,523,311,331,"Census Tract 102.05"
1960,25025010206,437,387,230,245,"Census Tract 102.06"
1960,25025010300,724,392,197,194,"Census Tract 103"
1960,25025010403,744,363,200,226,"Census Tract 104.03"
1960,25025010404,976,476,262,296,"Census Tract 104.04"
1960,25025010405,1278,626,344,386,"Census Tract 104.05"
1960,25025010408,340,301,179,191,"Census Tract 104.08"
1960,25025010500,1238,608,241,177,"Census Tract 105"
1960,25025010600,1007,558,248,215,"Census Tract 106"
1960,25025010701,419,517,443,699,"Census Tract 107.01"
1960,25025010702,402,496,426,672,"Census Tract 107.02"
1960,25025010801,371,426,430,826,"Census Tract 108.01"
1960,25025010802,386,444,448,861,"Census Tract 108.02"
1960,25025020101,559,852,779,1836,"Census Tract 201.01"
1960,25025020200,1112,489,399,707,"Census Tract 202"
1960,25025020301,431,126,48,84,"Census Tract 203.01"
1960,25025020302,1351,380,139,134,"Census Tract 203.02"
1960,25025020304,120,34,12,12,"Census Tract 203.04"
1960,25025020305,318,82,23,35,"Census Tract 203.05"
1960,25025030100,1737,313,51,35,"Census Tract 301"
1960,25025030200,1138,192,22,40,"Census Tract 302"
1960,25025030301,35,12,13,16,"Census Tract 303.01"
1960,25025030302,723,213,163,190,"Census Tract 303.02"
1960,25025030400,1929,414,50,82,"Census Tract 304"
1960,25025030500,1330,210,39,18,"Census Tract 305"
1960,25025040100,918,474,42,73,"Census Tract 401"
1960,25025040200,783,351,37,37,"Census Tract 402"
1960,25025040300,2059,986,56,56,"Census Tract 403"
1960,25025040401,1316,476,60,34,"Census Tract 404.01"
1960,25025040600,1508,504,39,49,"Census Tract 406"
1960,25025040801,591,232,53,38,"Census Tract 408.01"
1960,25025050101,1775,617,80,63,"Census Tract 501.01"
1960,25025050200,2250,681,61,54,"Census Tract 502"
1960,25025050300,821,216,41,23,"Census Tract 503"
1960,25025050400,1074,241,19,12,"Census Tract 504"
1960,25025050500,1065,220,26,24,"Census Tract 505"
1960,25025050600,1116,226,35,4,"Census Tract 506"
1960,25025050700,2242,568,59,26,"Census Tract 507"
1960,25025050901,2098,719,74,44,"Census Tract 509.01"
1960,25025051000,1539,730,107,61,"Census Tract 510"
1960,25025051101,2469,1355,180,200,"Census Tract 511.01"
1960,25025051200,1694,472,25,30,"Census Tract 512"
1960,25025060101,1382,917,125,87,"Census Tract 601.01"
1960,25025060200,931,684,109,111,"Census Tract 602"
1960,25025060301,1665,862,127,122,"Census Tract 603.01"
1960,25025060400,2343,1303,156,160,"Census Tract 604"
1960,25025060501,1886,728,72,82,"Census Tract 605.01"
1960,25025060601,411,151,20,3,"Census Tract 606.01"
1960,25025060602,30,10,1,1,"Census Tract 606.02"
1960,25025060603,18,7,1,0,"Census Tract 606.03"
1960,25025060604,59,22,3,0,"Census Tract 606.04"
1960,25025060700,937,419,78,11,"Census Tract 607"
1960,25025060800,2257,665,62,39,"Census Tract 608"
1960,25025061000,1465,753,60,19,"Census Tract 610"
1960,25025061101,948,441,38,11,"Census Tract 611.01"
1960,25025061201,851,353,49,23,"Census Tract 612.01"
1960,25025061202,,,,,"Census Tract 612.02"
1960,25025061203,333,50,9,29,"Census Tract 612.03"
1960,25025061204,64,10,2,6,"Census Tract 612.04"
1960,25025070102,175,19,14,14,"Census Tract 701.02"
1960,25025070103,8,1,1,1,"Census Tract 701.03"
1960,25025070104,66,7,5,5,"Census Tract 701.04"
1960,25025070201,430,81,47,52,"Census Tract 702.01"
1960,25025070202,1293,164,74,100,"Census Tract 702.02"
1960,25025070301,1344,380,119,117,"Census Tract 703.01"
1960,25025070302,821,236,75,75,"Census Tract 703.02"
1960,25025070402,1112,155,12,22,"Census Tract 704.02"
1960,25025070501,1534,285,66,49,"Census Tract 705.01"
1960,25025070502,2484,460,133,55,"Census Tract 705.02"
1960,25025070600,1967,433,142,74,"Census Tract 706"
1960,25025070700,881,408,168,74,"Census Tract 707"
1960,25025070801,500,142,31,25,"Census Tract 708.01"
1960,25025070802,1397,395,86,69,"Census Tract 708.02"
1960,25025070901,550,121,40,25,"Census Tract 709.01"
1960,25025070902,929,204,68,42,"Census Tract 709.02"
1960,25025071101,1678,402,165,276,"Census Tract 711.01"
1960,25025071201,1152,314,82,62,"Census Tract 712.01"
1960,25025080100,1462,411,45,26,"Census Tract 801"
1960,25025080300,1609,503,93,32,"Census Tract 803"
1960,25025080401,1797,336,117,20,"Census Tract 804.01"
1960,25025080500,1645,371,95,22,"Census Tract 805"
1960,25025080601,1480,380,67,59,"Census Tract 806.01"
1960,25025080801,1587,639,158,201,"Census Tract 808.01"
1960,25025080900,1495,660,107,131,"Census Tract 809"
1960,25025081001,1619,987,359,380,"Census Tract 810.01"
1960,25025081101,426,203,105,48,"Census Tract 811.01"
1960,25025081102,912,419,211,97,"Census Tract 811.02"
1960,25025081200,2016,537,110,74,"Census Tract 812"
1960,25025081301,609,236,76,72,"Census Tract 813.01"
1960,25025081302,851,329,106,101,"Census Tract 813.02"
1960,25025081400,2136,649,146,72,"Census Tract 814"
1960,25025081500,1567,569,97,110,"Census Tract 815"
1960,25025081700,2797,906,187,136,"Census Tract 817"
1960,25025081800,1825,694,182,122,"Census Tract 818"
1960,25025081900,2146,1036,227,183,"Census Tract 819"
1960,25025082000,1793,693,268,133,"Census Tract 820"
1960,25025082100,1836,1158,388,415,"Census Tract 821"
1960,25025090100,2404,1201,242,218,"Census Tract 901"
1960,25025090200,998,457,93,108,"Census Tract 902"
1960,25025090300,1589,664,150,64,"Census Tract 903"
1960,25025090400,2469,878,90,82,"Census Tract 904"
1960,25025090600,1560,467,19,15,"Census Tract 906"
1960,25025090700,2174,1076,206,139,"Census Tract 907"
1960,25025090901,1129,555,69,88,"Census Tract 909.01"
1960,25025091001,1502,739,91,117,"Census Tract 910.01"
1960,25025091100,2414,1072,149,92,"Census Tract 911"
1960,25025091200,1223,879,151,139,"Census Tract 912"
1960,25025091300,1297,473,76,35,"Census Tract 913"
1960,25025091400,1346,741,103,95,"Census Tract 914"
1960,25025091500,1800,1083,131,67,"Census Tract 915"
1960,25025091600,1325,696,114,146,"Census Tract 916"
1960,25025091700,1226,892,113,67,"Census Tract 917"
1960,25025091800,1503,1040,152,161,"Census Tract 918"
1960,25025091900,1760,918,181,116,"Census Tract 919"
1960,25025092000,2093,1328,185,149,"Census Tract 920"
1960,25025092101,2891,1570,191,136,"Census Tract 921.01"
1960,25025092200,1295,1089,209,265,"Census Tract 922"
1960,25025092300,1389,819,131,78,"Census Tract 923"
1960,25025092400,2729,1505,283,247,"Census Tract 924"
1960,25025100100,2596,1607,285,167,"Census Tract 1001"
1960,25025100200,1453,933,112,84,"Census Tract 1002"
1960,25025100300,1382,1091,189,77,"Census Tract 1003"
1960,25025100400,1627,1386,300,250,"Census Tract 1004"
1960,25025100500,2489,1391,348,235,"Census Tract 1005"
1960,25025100601,2185,1322,278,176,"Census Tract 1006.01"
1960,25025100603,838,507,106,67,"Census Tract 1006.03"
1960,25025100700,1677,1388,299,169,"Census Tract 1007"
1960,25025100800,1631,1392,397,352,"Census Tract 1008"
1960,25025100900,1284,1057,241,212,"Census Tract 1009"
1960,25025101001,1352,1339,272,224,"Census Tract 1010.01"
1960,25025101002,1233,1217,247,204,"Census Tract 1010.02"
1960,25025101101,1412,995,229,163,"Census Tract 1011.01"
1960,25025101102,1774,1336,289,217,"Census Tract 1011.02"
1960,25025110104,1490,663,244,118,"Census Tract 1101.04"
1960,25025110105,1737,759,279,131,"Census Tract 1101.05"
1960,25025110106,1012,442,163,76,"Census Tract 1101.06"
1960,25025110201,454,281,58,23,"Census Tract 1102.01"
1960,25025110301,849,492,104,91,"Census Tract 1103.01"
1960,25025110401,1029,843,194,125,"Census Tract 1104.01"
1960,25025110403,1171,980,223,145,"Census Tract 1104.03"
1960,25025110501,1241,927,244,169,"Census Tract 1105.01"
1960,25025110502,1363,1018,269,186,"Census Tract 1105.02"
1960,25025110601,724,654,245,208,"Census Tract 1106.01"
1960,25025110607,1642,1482,555,471,"Census Tract 1106.07"
1960,25025120103,465,386,146,191,"Census Tract 1201.03"
1960,25025120104,696,577,219,286,"Census Tract 1201.04"
1960,25025120105,749,621,235,308,"Census Tract 1201.05"
1960,25025120201,1464,816,107,42,"Census Tract 1202.01"
1960,25025120301,2462,1010,246,201,"Census Tract 1203.01"
1960,25025120400,2582,1687,429,409,"Census Tract 1204"
1960,25025120500,1167,422,74,35,"Census Tract 1205"
1960,25025120600,1127,640,174,162,"Census Tract 1206"
1960,25025120700,639,456,119,188,"Census Tract 1207"
1960,25025130101,1374,1551,424,466,"Census Tract 1301.01"
1960,25025130200,1298,1351,574,605,"Census Tract 1302"
1960,25025130300,1191,1158,529,628,"Census Tract 1303"
1960,25025130402,1027,861,238,192,"Census Tract 1304.02"
1960,25025130404,521,435,117,92,"Census Tract 1304.04"
1960,25025130406,919,772,172,137,"Census Tract 1304.06"
1960,25025140102,904,768,130,105,"Census Tract 1401.02"
1960,25025140105,755,641,109,88,"Census Tract 1401.05"
1960,25025140106,488,414,70,57,"Census Tract 1401.06"
1960,25025140107,556,472,80,65,"Census Tract 1401.07"
1960,25025140201,592,514,119,67,"Census Tract 1402.01"
1960,25025140202,1561,1356,313,177,"Census Tract 1402.02"
1960,25025140300,2032,1175,203,202,"Census Tract 1403"
1960,25025140400,1810,1377,370,193,"Census Tract 1404"
1960,25025980101,,,,,"Census Tract 9801.01"
1960,25025980300,,,,,"Census Tract 9803"
1960,25025980700,,,,,"Census Tract 9807"
1960,25025980900,,,,,"Census Tract 9809"
1960,25025981000,,,,,"Census Tract 9810"
1960,25025981100,,,,,"Census Tract 9811"
1960,25025981201,,,,,"Census Tract 9812.01"
1960,25025981202,,,,,"Census Tract 9812.02"
1960,25025981300,,,,,"Census Tract 9813"
1960,25025981501,,,,,"Census Tract 9815.01"
1960,25025981502,,,,,"Census Tract 9815.02"
1960,25025981600,,,,,"Census Tract 9816"
1960,25025981700,,,,,"Census Tract 9817"
1960,25025981800,,,,,"Census Tract 9818"
1960,25025981900,,,,,"Census Tract 9819"
1970,25025000101,518,327,74,86,"Census Tract 1.01"
1970,25025000102,610,384,87,102,"Census Tract 1.02"
1970,25025000201,927,919,305,347,"Census Tract 2.01"
1970,25025000202,960,952,317,359,"Census Tract 2.02"
1970,25025000301,697,749,243,402,"Census Tract 3.01"
1970,25025000302,690,742,240,398,"Census Tract 3.02"
1970,25025000401,1129,1068,334,568,"Census Tract 4.01"
1970,25025000402,698,661,207,352,"Census Tract 4.02"
1970,25025000502,543,755,326,536,"Census Tract 5.02"
1970,25025000503,233,324,140,230,"Census Tract 5.03"
1970,25025000505,205,285,123,202,"Census Tract 5.05"
1970,25025000506,273,380,164,270,"Census Tract 5.06"
1970,25025000601,933,778,278,295,"Census Tract 6.01"
1970,25025000603,475,396,141,150,"Census Tract 6.03"
1970,25025000604,775,646,231,245,"Census Tract 6.04"
1970,25025000701,623,623,292,392,"Census Tract 7.01"
1970,25025000703,338,338,159,213,"Census Tract 7.03"
1970,25025000704,683,683,321,430,"Census Tract 7.04"
1970,25025000804,445,327,95,181,"Census Tract 8.04"
1970,25025000805,550,404,117,223,"Census Tract 8.05"
1970,25025000806,259,191,55,105,"Census Tract 8.06"
1970,25025000807,237,174,50,96,"Census Tract 8.07"
1970,25025010103,113,180,172,258,"Census Tract 101.03"
1970,25025010104,170,268,257,386,"Census Tract 101.04"
1970,25025010204,360,448,225,355,"Census Tract 102.04"
1970,25025010205,280,348,175,276,"Census Tract 102.05"
1970,25025010206,207,258,129,204,"Census Tract 102.06"
1970,25025010300,268,177,179,259,"Census Tract 103"
1970,25025010403,366,303,129,171,"Census Tract 104.03"
1970,25025010404,479,397,169,225,"Census Tract 104.04"
1970,25025010405,624,517,220,293,"Census Tract 104.05"
1970,25025010408,161,201,101,159,"Census Tract 104.08"
1970,25025010500,630,531,179,167,"Census Tract 105"
1970,25025010600,339,442,259,531,"Census Tract 106"
1970,25025010701,202,461,389,748,"Census Tract 107.01"
1970,25025010702,194,442,374,719,"Census Tract 107.02"
1970,25025010801,139,369,349,706,"Census Tract 108.01"
1970,25025010802,145,385,364,735,"Census Tract 108.02"
1970,25025020101,392,743,699,1942,"Census Tract 201.01"
1970,25025020200,646,529,334,694,"Census Tract 202"
1970,25025020301,336,286,179,490,"Census Tract 203.01"
1970,25025020302,210,179,112,311,"Census Tract 203.02"
1970,25025020304,19,17,10,29,"Census Tract 203.04"
1970,25025020305,257,220,137,381,"Census Tract 203.05"
1970,25025030100,1578,328,90,79,"Census Tract 301"
1970,25025030200,942,236,34,35,"Census Tract 302"
1970,25025030301,47,61,32,84,"Census Tract 303.01"
1970,25025030302,67,65,32,83,"Census Tract 303.02"
1970,25025030400,1542,440,113,202,"Census Tract 304"
1970,25025030500,995,180,48,40,"Census Tract 305"
1970,25025040100,400,454,70,148,"Census Tract 401"
1970,25025040200,666,429,33,34,"Census Tract 402"
1970,25025040300,1563,1008,99,59,"Census Tract 403"
1970,25025040401,566,414,47,31,"Census Tract 404.01"
1970,25025040600,830,502,94,46,"Census Tract 406"
1970,25025040801,524,229,39,6,"Census Tract 408.01"
1970,25025050101,1345,645,95,46,"Census Tract 501.01"
1970,25025050200,1596,786,90,60,"Census Tract 502"
1970,25025050300,697,171,34,10,"Census Tract 503"
1970,25025050400,936,184,38,15,"Census Tract 504"
1970,25025050500,821,191,34,44,"Census Tract 505"
1970,25025050600,743,161,42,19,"Census Tract 506"
1970,25025050700,1928,511,64,6,"Census Tract 507"
1970,25025050901,1561,723,125,58,"Census Tract 509.01"
1970,25025051000,1574,1150,130,50,"Census Tract 510"
1970,25025051101,2096,1353,317,241,"Census Tract 511.01"
1970,25025051200,1144,489,71,26,"Census Tract 512"
1970,25025060101,1124,1094,176,196,"Census Tract 601.01"
1970,25025060200,737,641,85,88,"Census Tract 602"
1970,25025060301,1278,879,133,133,"Census Tract 603.01"
1970,25025060400,2021,1374,200,221,"Census Tract 604"
1970,25025060501,1498,869,57,92,"Census Tract 605.01"
1970,25025060601,306,108,9,22,"Census Tract 606.01"
1970,25025060602,21,8,1,1,"Census Tract 606.02"
1970,25025060603,13,5,0,1,"Census Tract 606.03"
1970,25025060604,44,15,1,3,"Census Tract 606.04"
1970,25025060700,1031,363,32,16,"Census Tract 607"
1970,25025060800,1372,729,93,81,"Census Tract 608"
1970,25025061000,1131,673,52,41,"Census Tract 610"
1970,25025061101,769,385,20,21,"Census Tract 611.01"
1970,25025061201,908,268,87,83,"Census Tract 612.01"
1970,25025061202,,,,,"Census Tract 612.02"
1970,25025061203,169,85,17,0,"Census Tract 612.03"
1970,25025061204,32,16,3,0,"Census Tract 612.04"
1970,25025070102,105,116,61,93,"Census Tract 701.02"
