YEAR,GEOID,male,female,NAME
1950,25025060200,1618,1706,Census Tract 602
1950,25025060301,2708,2813,Census Tract 603.01
1950,25025060400,3651,4040,Census Tract 604
1950,25025060501,3544,3321,Census Tract 605.01
1950,25025060601,852,855,Census Tract 606.01
1950,25025060602,61,61,Census Tract 606.02
1950,25025060603,37,38,Census Tract 606.03
1950,25025060604,122,122,Census Tract 606.04
1950,25025060700,2174,2185,Census Tract 607
1950,25025060800,3412,3458,Census Tract 608
1950,25025061000,2829,2913,Census Tract 610
1950,25025061101,1764,1931,Census Tract 611.01
1950,25025061201,1455,1429,Census Tract 612.01
1950,25025061202,,,Census Tract 612.02
1950,25025061203,606,602,Census Tract 612.03
1950,25025061204,116,115,Census Tract 612.04
1950,25025070102,330,111,Census Tract 701.02
1950,25025070103,16,5,Census Tract 701.03
1950,25025070104,126,42,Census Tract 701.04
1950,25025070201,899,491,Census Tract 702.01
1950,25025070202,1873,907,Census Tract 702.02
1950,25025070301,1704,1586,Census Tract 703.01
1950,25025070302,1071,974,Census Tract 703.02
1950,25025070402,1805,1647,Census Tract 704.02
1950,25025070501,2211,1417,Census Tract 705.01
1950,25025070502,3497,2667,Census Tract 705.02
1950,25025070600,2814,2251,Census Tract 706
1950,25025070700,1608,1535,Census Tract 707
1950,25025070801,791,692,Census Tract 708.01
1950,25025070802,2209,1932,Census Tract 708.02
1950,25025070901,1043,925,Census Tract 709.01
1950,25025070902,1760,1560,Census Tract 709.02
1950,25025071101,2837,3879,Census Tract 711.01
1950,25025071201,2862,2490,Census Tract 712.01
1950,25025080100,2367,2682,Census Tract 801
1950,25025080300,2767,2920,Census Tract 803
1950,25025080401,3822,4106,Census Tract 804.01
1950,25025080500,3215,3769,Census Tract 805
1950,25025080601,3211,3341,Census Tract 806.01
1950,25025080801,2915,3660,Census Tract 808.01
1950,25025080900,2133,2625,Census Tract 809
1950,25025081001,2725,3866,Census Tract 810.01
1950,25025081101,566,830,Census Tract 811.01
1950,25025081102,1206,1736,Census Tract 811.02
1950,25025081200,2530,2791,Census Tract 812
1950,25025081301,914,1039,Census Tract 813.01
1950,25025081302,1277,1451,Census Tract 813.02
1950,25025081400,3691,4018,Census Tract 814
1950,25025081500,2876,3192,Census Tract 815
1950,25025081700,4608,5148,Census Tract 817
1950,25025081800,3008,3248,Census Tract 818
1950,25025081900,3566,4069,Census Tract 819
1950,25025082000,2675,2931,Census Tract 820
1950,25025082100,3274,3552,Census Tract 821
1950,25025090100,3738,4103,Census Tract 901
1950,25025090200,1545,1687,Census Tract 902
1950,25025090300,2800,3005,Census Tract 903
1950,25025090400,4188,4483,Census Tract 904
1950,25025090600,2866,2981,Census Tract 906
1950,25025090700,3496,3771,Census Tract 907
1950,25025090901,1250,1277,Census Tract 909.01
1950,25025091001,1680,1718,Census Tract 910.01
1950,25025091100,3236,3547,Census Tract 911
1950,25025091200,1754,2292,Census Tract 912
1950,25025091300,2050,2190,Census Tract 913
1950,25025091400,1934,2140,Census Tract 914
1950,25025091500,2659,2991,Census Tract 915
1950,25025091600,2233,2411,Census Tract 916
1950,25025091700,2047,2220,Census Tract 917
1950,25025091800,2752,2967,Census Tract 918
1950,25025091900,2579,2906,Census Tract 919
1950,25025092000,3138,3633,Census Tract 920
1950,25025092101,4497,4989,Census Tract 921.01
1950,25025092200,1955,2472,Census Tract 922
1950,25025092300,2068,2352,Census Tract 923
1950,25025092400,3824,4124,Census Tract 924
1950,25025100100,3963,3998,Census Tract 1001
1950,25025100200,2312,2322,Census Tract 1002
1950,25025100300,2469,2660,Census Tract 1003
1950,25025100400,2628,3121,Census Tract 1004
1950,25025100500,3869,4370,Census Tract 1005
1950,25025100601,3376,3804,Census Tract 1006.01
1950,25025100603,1295,1459,Census Tract 1006.03
1950,25025100700,2865,2965,Census Tract 1007
1950,25025100800,3046,3493,Census Tract 1008
1950,25025100900,2053,2274,Census Tract 1009
1950,25025101001,2160,2161,Census Tract 1010.01
1950,25025101002,1983,1993,Census Tract 1010.02
1950,25025101101,2312,2454,Census Tract 1011.01
1950,25025101102,3094,3240,Census Tract 1011.02
1950,25025110104,1576,1884,Census Tract 1101.04
1950,25025110105,1737,2054,Census Tract 1101.05
1950,25025110106,1057,1264,Census Tract 1101.06
1950,25025110201,673,719,Census Tract 1102.01
1950,25025110301,1192,1310,Census Tract 1103.01
1950,25025110401,1717,1860,Census Tract 1104.01
1950,25025110403,1987,2147,Census Tract 1104.03
1950,25025110501,2113,2324,Census Tract 1105.01
1950,25025110502,2321,2553,Census Tract 1105.02
1950,25025110601,1285,1487,Census Tract 1106.01
1950,25025110607,2914,3372,Census Tract 1106.07
1950,25025120103,732,937,Census Tract 1201.03
1950,25025120104,1096,1402,Census Tract 1201.04
1950,25025120105,1179,1508,Census Tract 1201.05
1950,25025120201,2460,2619,Census Tract 1202.01
1950,25025120301,3508,3858,Census Tract 1203.01
1950,25025120400,4035,4869,Census Tract 1204
1950,25025120500,1807,1992,Census Tract 1205
1950,25025120600,1803,2022,Census Tract 1206
1950,25025120700,1000,1217,Census Tract 1207
1950,25025130101,2599,2811,Census Tract 1301.01
1950,25025130200,2566,3161,Census Tract 1302
1950,25025130300,2578,3042,Census Tract 1303
1950,25025130402,1490,1668,Census Tract 1304.02
1950,25025130404,743,830,Census Tract 1304.04
1950,25025130406,1347,1458,Census Tract 1304.06
1950,25025140102,1371,1429,Census Tract 1401.02
1950,25025140105,1144,1193,Census Tract 1401.05
1950,25025140106,740,771,Census Tract 1401.06
1950,25025140107,843,879,Census Tract 1401.07
1950,25025140201,960,988,Census Tract 1402.01
1950,25025140202,2529,2605,Census Tract 1402.02
1950,25025140300,3110,3309,Census Tract 1403
1950,25025140400,2761,3007,Census Tract 1404
1950,25025980101,,,Census Tract 9801.01
1950,25025980300,,,Census Tract 9803
1950,25025980700,,,Census Tract 9807
1950,25025980900,,,Census Tract 9809
1950,25025981000,,,Census Tract 9810
1950,25025981100,,,Census Tract 9811
1950,25025981201,,,Census Tract 9812.01
1950,25025981202,,,Census Tract 9812.02
1950,25025981300,,,Census Tract 9813
1950,25025981501,,,Census Tract 9815.01
1950,25025981502,,,Census Tract 9815.02
1950,25025981600,,,Census Tract 9816
1950,25025981700,,,Census Tract 9817
1950,25025981800,,,Census Tract 9818
1950,25025981900,,,Census Tract 9819
1960,25025000101,1055,1105,Census Tract 1.01
1960,25025000102,1241,1301,Census Tract 1.02
1960,25025000201,2236,2571,Census Tract 2.01
1960,25025000202,2317,2666,Census Tract 2.02
1960,25025000301,1343,1485,Census Tract 3.01
1960,25025000302,1331,1472,Census Tract 3.02
1960,25025000401,2448,2750,Census Tract 4.01
1960,25025000402,1515,1701,Census Tract 4.02
1960,25025000502,1585,2344,Census Tract 5.02
1960,25025000503,681,1007,Census Tract 5.03
1960,25025000505,597,884,Census Tract 5.05
1960,25025000506,797,1179,Census Tract 5.06
1960,25025000601,1822,2187,Census Tract 6.01
1960,25025000603,928,1114,Census Tract 6.03
1960,25025000604,1516,1819,Census Tract 6.04
1960,25025000701,1515,2190,Census Tract 7.01
1960,25025000703,822,1189,Census Tract 7.03
1960,25025000704,1662,2402,Census Tract 7.04
1960,25025000804,1223,1018,Census Tract 8.04
1960,25025000805,1510,1258,Census Tract 8.05
1960,25025000806,712,593,Census Tract 8.06
1960,25025000807,650,542,Census Tract 8.07
1960,25025010103,1108,1458,Census Tract 101.03
1960,25025010104,1664,2189,Census Tract 101.04
1960,25025010204,1366,1737,Census Tract 102.04
1960,25025010205,1061,1350,Census Tract 102.05
1960,25025010206,785,999,Census Tract 102.06
1960,25025010300,1283,2442,Census Tract 103
1960,25025010403,918,1104,Census Tract 104.03
1960,25025010404,1203,1447,Census Tract 104.04
1960,25025010405,1609,2012,Census Tract 104.05
1960,25025010408,611,777,Census Tract 104.08
1960,25025010500,1519,1433,Census Tract 105
1960,25025010600,1176,1203,Census Tract 106
1960,25025010701,1223,1907,Census Tract 107.01
1960,25025010702,1174,1832,Census Tract 107.02
1960,25025010801,1283,1991,Census Tract 108.01
1960,25025010802,1337,2075,Census Tract 108.02
1960,25025020101,2144,3144,Census Tract 201.01
1960,25025020200,1983,1841,Census Tract 202
1960,25025020301,528,562,Census Tract 203.01
1960,25025020302,1476,1058,Census Tract 203.02
1960,25025020304,132,94,Census Tract 203.04
1960,25025020305,341,325,Census Tract 203.05
1960,25025030100,1697,1726,Census Tract 301
1960,25025030200,1068,1075,Census Tract 302
1960,25025030301,56,43,Census Tract 303.01
1960,25025030302,1004,425,Census Tract 303.02
1960,25025030400,1829,1868,Census Tract 304
1960,25025030500,3551,1270,Census Tract 305
1960,25025040100,1276,1185,Census Tract 401
1960,25025040200,1169,1349,Census Tract 402
1960,25025040300,2858,3093,Census Tract 403
1960,25025040401,1725,1713,Census Tract 404.01
1960,25025040600,1892,1978,Census Tract 406
1960,25025040801,1452,946,Census Tract 408.01
1960,25025050101,2163,2217,Census Tract 501.01
1960,25025050200,2567,2579,Census Tract 502
1960,25025050300,1217,1248,Census Tract 503
1960,25025050400,1222,1150,Census Tract 504
1960,25025050500,1101,1176,Census Tract 505
1960,25025050600,1132,1126,Census Tract 506
1960,25025050700,2413,2450,Census Tract 507
1960,25025050901,2533,2589,Census Tract 509.01
1960,25025051000,2126,2101,Census Tract 510
1960,25025051101,3476,3673,Census Tract 511.01
1960,25025051200,1951,1956,Census Tract 512
1960,25025060101,2004,2191,Census Tract 601.01
1960,25025060200,1441,1592,Census Tract 602
1960,25025060301,2226,2447,Census Tract 603.01
1960,25025060400,3055,3444,Census Tract 604
1960,25025060501,3561,2543,Census Tract 605.01
1960,25025060601,3259,504,Census Tract 606.01
1960,25025060602,201,36,Census Tract 606.02
1960,25025060603,143,22,Census Tract 606.03
1960,25025060604,467,72,Census Tract 606.04
1960,25025060700,1684,2043,Census Tract 607
1960,25025060800,2642,2652,Census Tract 608
1960,25025061000,2126,2344,Census Tract 610
1960,25025061101,1174,1537,Census Tract 611.01
1960,25025061201,1063,1072,Census Tract 612.01
1960,25025061202,,,Census Tract 612.02
1960,25025061203,348,363,Census Tract 612.03
1960,25025061204,67,70,Census Tract 612.04
1960,25025070102,206,82,Census Tract 701.02
1960,25025070103,10,4,Census Tract 701.03
1960,25025070104,78,31,Census Tract 701.04
1960,25025070201,589,331,Census Tract 702.01
1960,25025070202,1684,770,Census Tract 702.02
1960,25025070301,1320,1065,Census Tract 703.01
1960,25025070302,816,657,Census Tract 703.02
1960,25025070402,1092,887,Census Tract 704.02
1960,25025070501,1672,936,Census Tract 705.01
1960,25025070502,2546,1715,Census Tract 705.02
1960,25025070600,1932,1330,Census Tract 706
1960,25025070700,1143,971,Census Tract 707
1960,25025070801,511,472,Census Tract 708.01
1960,25025070802,1426,1319,Census Tract 708.02
1960,25025070901,594,447,Census Tract 709.01
1960,25025070902,1002,754,Census Tract 709.02
1960,25025071101,1787,2018,Census Tract 711.01
1960,25025071201,1347,1604,Census Tract 712.01
1960,25025080100,1527,1749,Census Tract 801
1960,25025080300,2082,2333,Census Tract 803
1960,25025080401,1899,2275,Census Tract 804.01
1960,25025080500,1587,2008,Census Tract 805
1960,25025080601,1632,1850,Census Tract 806.01
1960,25025080801,2235,3159,Census Tract 808.01
1960,25025080900,1865,2277,Census Tract 809
1960,25025081001,2260,3342,Census Tract 810.01
1960,25025081101,526,743,Census Tract 811.01
1960,25025081102,1133,1581,Census Tract 811.02
1960,25025081200,2680,3254,Census Tract 812
1960,25025081301,740,853,Census Tract 813.01
1960,25025081302,1035,1193,Census Tract 813.02
1960,25025081400,2511,2860,Census Tract 814
1960,25025081500,2000,2315,Census Tract 815
1960,25025081700,3446,3933,Census Tract 817
1960,25025081800,2326,2789,Census Tract 818
1960,25025081900,2917,3408,Census Tract 819
1960,25025082000,2289,2636,Census Tract 820
1960,25025082100,2620,3178,Census Tract 821
1960,25025090100,3152,3475,Census Tract 901
1960,25025090200,1245,1457,Census Tract 902
1960,25025090300,2296,2674,Census Tract 903
1960,25025090400,3319,3632,Census Tract 904
1960,25025090600,1887,1953,Census Tract 906
1960,25025090700,2893,3155,Census Tract 907
1960,25025090901,1957,2234,Census Tract 909.01
1960,25025091001,2606,2973,Census Tract 910.01
1960,25025091100,3088,3334,Census Tract 911
1960,25025091200,1675,2004,Census Tract 912
1960,25025091300,1622,1689,Census Tract 913
1960,25025091400,1722,1903,Census Tract 914
1960,25025091500,2393,2673,Census Tract 915
1960,25025091600,1929,2072,Census Tract 916
1960,25025091700,1977,2127,Census Tract 917
1960,25025091800,2551,2748,Census Tract 918
1960,25025091900,2358,2657,Census Tract 919
1960,25025092000,3024,3438,Census Tract 920
1960,25025092101,3791,4315,Census Tract 921.01
1960,25025092200,2002,2500,Census Tract 922
1960,25025092300,1887,2151,Census Tract 923
1960,25025092400,3712,4268,Census Tract 924
1960,25025100100,3817,4130,Census Tract 1001
1960,25025100200,1827,2041,Census Tract 1002
1960,25025100300,2192,2472,Census Tract 1003
1960,25025100400,2448,3070,Census Tract 1004
1960,25025100500,3411,3861,Census Tract 1005
1960,25025100601,3216,3569,Census Tract 1006.01
1960,25025100603,1234,1369,Census Tract 1006.03
1960,25025100700,2621,2952,Census Tract 1007
1960,25025100800,2763,3405,Census Tract 1008
1960,25025100900,2151,2402,Census Tract 1009
1960,25025101001,2627,2596,Census Tract 1010.01
1960,25025101002,2390,2367,Census Tract 1010.02
1960,25025101101,2023,2222,Census Tract 1011.01
1960,25025101102,2635,2863,Census Tract 1011.02
1960,25025110104,1720,2035,Census Tract 1101.04
1960,25025110105,1983,2348,Census Tract 1101.05
1960,25025110106,1155,1367,Census Tract 1101.06
1960,25025110201,626,683,Census Tract 1102.01
1960,25025110301,1214,1290,Census Tract 1103.01
1960,25025110401,1759,1898,Census Tract 1104.01
1960,25025110403,2033,2187,Census Tract 1104.03
1960,25025110501,2043,2271,Census Tract 1105.01
1960,25025110502,2243,2494,Census Tract 1105.02
1960,25025110601,1340,1551,Census Tract 1106.01
1960,25025110607,3039,3518,Census Tract 1106.07
1960,25025120103,851,1080,Census Tract 1201.03
1960,25025120104,1273,1616,Census Tract 1201.04
1960,25025120105,1369,1738,Census Tract 1201.05
1960,25025120201,2064,2226,Census Tract 1202.01
1960,25025120301,3067,3387,Census Tract 1203.01
1960,25025120400,3688,4238,Census Tract 1204
1960,25025120500,1491,1648,Census Tract 1205
1960,25025120600,1602,1882,Census Tract 1206
1960,25025120700,1105,1162,Census Tract 1207
1960,25025130101,2738,3157,Census Tract 1301.01
1960,25025130200,2781,3325,Census Tract 1302
1960,25025130300,2645,3059,Census Tract 1303
1960,25025130402,1856,1981,Census Tract 1304.02
1960,25025130404,935,994,Census Tract 1304.04
1960,25025130406,1664,1769,Census Tract 1304.06
1960,25025140102,1657,1764,Census Tract 1401.02
1960,25025140105,1383,1472,Census Tract 1401.05
1960,25025140106,895,952,Census Tract 1401.06
1960,25025140107,1019,1085,Census Tract 1401.07
1960,25025140201,1235,1251,Census Tract 1402.01
1960,25025140202,3255,3296,Census Tract 1402.02
1960,25025140300,2953,3104,Census Tract 1403
1960,25025140400,2975,3252,Census Tract 1404
1960,25025980101,,,Census Tract 9801.01
1960,25025980300,,,Census Tract 9803
1960,25025980700,,,Census Tract 9807
1960,25025980900,,,Census Tract 9809
1960,25025981000,,,Census Tract 9810
1960,25025981100,,,Census Tract 9811
1960,25025981201,,,Census Tract 9812.01
1960,25025981202,,,Census Tract 9812.02
1960,25025981300,,,Census Tract 9813
1960,25025981501,,,Census Tract 9815.01
1960,25025981502,,,Census Tract 9815.02
1960,25025981600,,,Census Tract 9816
1960,25025981700,,,Census Tract 9817
1960,25025981800,,,Census Tract 9818
1960,25025981900,,,Census Tract 9819
1970,25025000101,860,961,Census Tract 1.01
1970,25025000102,1011,1130,Census Tract 1.02
1970,25025000201,2114,2425,Census Tract 2.01
1970,25025000202,2192,2514,Census Tract 2.02
1970,25025000301,1562,1875,Census Tract 3.01
1970,25025000302,1547,1858,Census Tract 3.02
1970,25025000401,2336,2807,Census Tract 4.01
1970,25025000402,1446,1736,Census Tract 4.02
1970,25025000502,1272,2120,Census Tract 5.02
1970,25025000503,547,911,Census Tract 5.03
1970,25025000505,480,799,Census Tract 5.05
1970,25025000506,640,1067,Census Tract 5.06
1970,25025000601,1694,2272,Census Tract 6.01
1970,25025000603,862,1156,Census Tract 6.03
1970,25025000604,1407,1887,Census Tract 6.04
1970,25025000701,1491,2195,Census Tract 7.01
1970,25025000703,809,1191,Census Tract 7.03
1970,25025000704,1636,2408,Census Tract 7.04
1970,25025000804,1359,1161,Census Tract 8.04
1970,25025000805,1679,1435,Census Tract 8.05
1970,25025000806,791,676,Census Tract 8.06
1970,25025000807,723,618,Census Tract 8.07
1970,25025010103,1424,2682,Census Tract 101.03
1970,25025010104,2128,4010,Census Tract 101.04
1970,25025010204,1200,1590,Census Tract 102.04
1970,25025010205,933,1236,Census Tract 102.05
1970,25025010206,690,914,Census Tract 102.06
1970,25025010300,1197,2575,Census Tract 103
1970,25025010403,1190,1206,Census Tract 104.03
1970,25025010404,1559,1581,Census Tract 104.04
1970,25025010405,2031,2060,Census Tract 104.05
1970,25025010408,537,711,Census Tract 104.08
1970,25025010500,1428,1204,Census Tract 105
1970,25025010600,944,998,Census Tract 106
1970,25025010701,1415,2291,Census Tract 107.01
1970,25025010702,1359,2201,Census Tract 107.02
1970,25025010801,1192,1881,Census Tract 108.01
1970,25025010802,1243,1961,Census Tract 108.02
1970,25025020101,2358,3085,Census Tract 201.01
1970,25025020200,1903,1835,Census Tract 202
1970,25025020301,890,919,Census Tract 203.01
1970,25025020302,555,575,Census Tract 203.02
1970,25025020304,51,53,Census Tract 203.04
1970,25025020305,679,704,Census Tract 203.05
1970,25025030100,1566,1638,Census Tract 301
1970,25025030200,897,981,Census Tract 302
1970,25025030301,140,172,Census Tract 303.01
1970,25025030302,158,192,Census Tract 303.02
1970,25025030400,1637,1719,Census Tract 304
1970,25025030500,1020,957,Census Tract 305
1970,25025040100,866,926,Census Tract 401
1970,25025040200,1181,1139,Census Tract 402
1970,25025040300,2483,2639,Census Tract 403
1970,25025040401,991,1007,Census Tract 404.01
1970,25025040600,1312,1330,Census Tract 406
1970,25025040801,636,843,Census Tract 408.01
1970,25025050101,1868,2050,Census Tract 501.01
1970,25025050200,2147,2261,Census Tract 502
1970,25025050300,843,1045,Census Tract 503
1970,25025050400,952,1049,Census Tract 504
1970,25025050500,818,896,Census Tract 505
1970,25025050600,807,847,Census Tract 506
1970,25025050700,1985,2076,Census Tract 507
1970,25025050901,2080,2286,Census Tract 509.01
1970,25025051000,2447,2664,Census Tract 510
1970,25025051101,3126,3598,Census Tract 511.01
1970,25025051200,1495,1533,Census Tract 512
1970,25025060101,1904,2149,Census Tract 601.01
1970,25025060200,1250,1414,Census Tract 602
1970,25025060301,1899,2184,Census Tract 603.01
1970,25025060400,2746,3315,Census Tract 604
1970,25025060501,2352,2309,Census Tract 605.01
1970,25025060601,380,404,Census Tract 606.01
1970,25025060602,26,28,Census Tract 606.02
1970,25025060603,17,18,Census Tract 606.03
1970,25025060604,54,58,Census Tract 606.04
1970,25025060700,1558,1981,Census Tract 607
1970,25025060800,1911,2010,Census Tract 608
1970,25025061000,1647,2062,Census Tract 610
1970,25025061101,773,1214,Census Tract 611.01
1970,25025061201,1005,1217,Census Tract 612.01
1970,25025061202,,,Census Tract 612.02
1970,25025061203,229,231,Census Tract 612.03
1970,25025061204,44,44,Census Tract 612.04
1970,25025070102,280,213,Census Tract 701.02
1970,25025070103,19,14,Census Tract 701.03
1970,25025070104,106,81,Census Tract 701.04
1970,25025070201,369,212,Census Tract 702.01
1970,25025070202,898,568,Census Tract 702.02
1970,25025070301,1072,745,Census Tract 703.01
1970,25025070302,654,453,Census Tract 703.02
1970,25025070402,872,970,Census Tract 704.02
1970,25025070501,1043,757,Census Tract 705.01
1970,25025070502,1884,1367,Census Tract 705.02
1970,25025070600,1311,934,Census Tract 706
1970,25025070700,493,423,Census Tract 707
1970,25025070801,298,309,Census Tract 708.01
1970,25025070802,834,864,Census Tract 708.02
1970,25025070901,431,340,Census Tract 709.01
1970,25025070902,728,573,Census Tract 709.02
1970,25025071101,1016,1346,Census Tract 711.01
1970,25025071201,949,1209,Census Tract 712.01
1970,25025080100,1208,1359,Census Tract 801
1970,25025080300,1495,1790,Census Tract 803
1970,25025080401,891,1247,Census Tract 804.01
1970,25025080500,630,909,Census Tract 805
1970,25025080601,798,1042,Census Tract 806.01
1970,25025080801,1765,2876,Census Tract 808.01
1970,25025080900,1631,2141,Census Tract 809
1970,25025081001,2252,2816,Census Tract 810.01
1970,25025081101,482,515,Census Tract 811.01
1970,25025081102,1024,1115,Census Tract 811.02
1970,25025081200,2083,2785,Census Tract 812
1970,25025081301,779,910,Census Tract 813.01
1970,25025081302,1088,1271,Census Tract 813.02
1970,25025081400,1594,1874,Census Tract 814
1970,25025081500,1294,1612,Census Tract 815
1970,25025081700,2001,2557,Census Tract 817
1970,25025081800,1724,2087,Census Tract 818
1970,25025081900,1940,2420,Census Tract 819
1970,25025082000,1618,1919,Census Tract 820
1970,25025082100,2350,3173,Census Tract 821
1970,25025090100,2887,3490,Census Tract 901
1970,25025090200,1116,1337,Census Tract 902
1970,25025090300,1447,1847,Census Tract 903
1970,25025090400,2225,2588,Census Tract 904
1970,25025090600,1254,1348,Census Tract 906
1970,25025090700,2485,2861,Census Tract 907
1970,25025090901,2071,2691,Census Tract 909.01
1970,25025091001,1714,1946,Census Tract 910.01
1970,25025091100,3003,3278,Census Tract 911
1970,25025091200,1675,1896,Census Tract 912
1970,25025091300,1305,1475,Census Tract 913
1970,25025091400,1522,1813,Census Tract 914
1970,25025091500,2640,3020,Census Tract 915
1970,25025091600,1668,1918,Census Tract 916
1970,25025091700,1775,2040,Census Tract 917
1970,25025091800,2246,2483,Census Tract 918
1970,25025091900,2468,2830,Census Tract 919
1970,25025092000,3049,3492,Census Tract 920
1970,25025092101,3205,3787,Census Tract 921.01
1970,25025092200,1958,2357,Census Tract 922
1970,25025092300,1703,2038,Census Tract 923
1970,25025092400,3398,4091,Census Tract 924
1970,25025100100,3441,4182,Census Tract 1001
1970,25025100200,1919,2421,Census Tract 1002
1970,25025100300,2131,2455,Census Tract 1003
1970,25025100400,2356,2877,Census Tract 1004
1970,25025100500,3335,4061,Census Tract 1005
1970,25025100601,3232,3731,Census Tract 1006.01
1970,25025100603,1241,1433,Census Tract 1006.03
1970,25025100700,2412,2936,Census Tract 1007
1970,25025100800,2632,3482,Census Tract 1008
1970,25025100900,2044,2487,Census Tract 1009
1970,25025101001,2770,3137,Census Tract 1010.01
1970,25025101002,2513,2849,Census Tract 1010.02
1970,25025101101,1937,2249,Census Tract 1011.01
1970,25025101102,2599,3033,Census Tract 1011.02
1970,25025110104,1304,1443,Census Tract 1101.04
1970,25025110105,1489,1641,Census Tract 1101.05
1970,25025110106,867,956,Census Tract 1101.06
1970,25025110201,922,1179,Census Tract 1102.01
1970,25025110301,1310,1410,Census Tract 1103.01
1970,25025110401,1817,2025,Census Tract 1104.01
1970,25025110403,2129,2373,Census Tract 1104.03
1970,25025110501,1957,2256,Census Tract 1105.01
1970,25025110502,2150,2477,Census Tract 1105.02
1970,25025110601,1352,1672,Census Tract 1106.01
1970,25025110607,3065,3790,Census Tract 1106.07
1970,25025120103,801,1053,Census Tract 1201.03
1970,25025120104,1199,1575,Census Tract 1201.04
1970,25025120105,1292,1698,Census Tract 1201.05
1970,25025120201,2086,2337,Census Tract 1202.01
1970,25025120301,2497,3070,Census Tract 1203.01
1970,25025120400,3342,3955,Census Tract 1204
1970,25025120500,1128,1276,Census Tract 1205
1970,25025120600,1619,1824,Census Tract 1206
1970,25025120700,1075,1233,Census Tract 1207
1970,25025130101,2698,3243,Census Tract 1301.01
1970,25025130200,2962,3458,Census Tract 1302
1970,25025130300,2771,3266,Census Tract 1303
1970,25025130402,2579,2809,Census Tract 1304.02
1970,25025130404,1312,1426,Census Tract 1304.04
1970,25025130406,2236,2430,Census Tract 1304.06
1970,25025140102,2358,2648,Census Tract 1401.02
1970,25025140105,1967,2210,Census Tract 1401.05
1970,25025140106,1272,1429,Census Tract 1401.06
1970,25025140107,1450,1629,Census Tract 1401.07
1970,25025140201,1289,1375,Census Tract 1402.01
1970,25025140202,3398,3626,Census Tract 1402.02
1970,25025140300,3000,3253,Census Tract 1403
1970,25025140400,3504,3856,Census Tract 1404
1970,25025980101,,,Census Tract 9801.01
1970,25025980300,,,Census Tract 9803
1970,25025980700,,,Census Tract 9807
1970,25025980900,,,Census Tract 9809
