"YEAR","GEOID","NAME","total_workers_16_and_over","car_truck_van_alone","car_truck_van_carpool","public_transportation","taxicab","motorcycle","bicycle","walked","other_means","worked_from_home"
1990,"25025091200","Census Tract 912",1361,732,154,399,0,0,0,56,0,20
1990,"25025091300","Census Tract 913",818,303,188,228,0,0,0,92,7,0
1990,"25025091400","Census Tract 914",927,371,221,257,5,0,0,30,36,7
1990,"25025091500","Census Tract 915",1683,755,351,411,9,0,8,77,72,0
1990,"25025091600","Census Tract 916",1250,530,254,398,11,0,0,37,20,0
1990,"25025091700","Census Tract 917",1348,561,258,449,0,0,0,62,9,9
1990,"25025091800","Census Tract 918",1301,685,196,380,0,0,0,15,0,25
1990,"25025091900","Census Tract 919",1506,621,174,581,24,0,0,47,32,27
1990,"25025092000","Census Tract 920",1978,887,248,774,8,0,0,53,0,8
1990,"25025092101","Census Tract 921.01",2837,1570,363,590,44,0,10,211,40,9
1990,"25025092200","Census Tract 922",1666,797,166,591,0,5,10,52,0,45
1990,"25025092300","Census Tract 923",1296,591,141,505,0,0,0,59,0,0
1990,"25025092400","Census Tract 924",2149,1037,261,736,0,0,0,74,41,0
1990,"25025100100","Census Tract 1001",1482,936,168,345,7,0,0,0,26,0
1990,"25025100200","Census Tract 1002",927,362,113,397,5,0,0,0,15,35
1990,"25025100300","Census Tract 1003",1507,667,211,594,0,0,0,7,7,21
1990,"25025100400","Census Tract 1004",2518,1254,334,815,0,0,6,52,12,45
1990,"25025100500","Census Tract 1005",2849,1343,338,965,0,0,18,111,12,62
1990,"25025100601","Census Tract 1006.01",2444,1406,317,584,0,0,0,82,0,55
1990,"25025100603","Census Tract 1006.03",993,601,84,184,6,0,0,93,7,18
1990,"25025100700","Census Tract 1007",2116,1269,309,384,9,0,0,112,8,25
1990,"25025100800","Census Tract 1008",2636,1408,470,653,0,8,0,87,0,10
1990,"25025100900","Census Tract 1009",2071,1155,223,531,0,0,0,128,0,34
1990,"25025101001","Census Tract 1010.01",3094,1320,666,899,0,0,0,77,53,79
1990,"25025101002","Census Tract 1010.02",2475,1242,279,847,23,0,0,50,7,27
1990,"25025101101","Census Tract 1011.01",1455,716,217,455,7,13,0,35,5,7
1990,"25025101102","Census Tract 1011.02",2162,952,400,732,7,0,0,19,12,40
1990,"25025110104","Census Tract 1101.04",898,356,77,409,0,0,12,20,0,24
1990,"25025110105","Census Tract 1101.05",1016,392,87,473,0,0,14,22,0,28
1990,"25025110106","Census Tract 1101.06",591,228,50,276,0,0,8,13,0,16
1990,"25025110201","Census Tract 1102.01",679,364,71,204,0,0,0,27,5,8
1990,"25025110301","Census Tract 1103.01",1280,718,233,294,0,0,0,8,0,27
1990,"25025110401","Census Tract 1104.01",1750,924,255,536,0,0,0,21,0,14
1990,"25025110403","Census Tract 1104.03",2158,1386,286,412,7,0,0,60,0,7
1990,"25025110501","Census Tract 1105.01",1937,1210,242,413,0,0,0,48,10,14
1990,"25025110502","Census Tract 1105.02",1997,1062,274,534,8,0,5,75,4,35
1990,"25025110601","Census Tract 1106.01",1222,792,162,177,7,0,0,28,7,49
1990,"25025110607","Census Tract 1106.07",2682,1618,264,630,10,8,0,95,19,38
1990,"25025120103","Census Tract 1201.03",941,484,101,230,0,0,15,54,2,55
1990,"25025120104","Census Tract 1201.04",1408,724,151,345,0,0,22,81,3,82
1990,"25025120105","Census Tract 1201.05",1520,781,163,372,0,0,24,88,3,89
1990,"25025120201","Census Tract 1202.01",2139,733,358,788,0,0,23,185,7,45
1990,"25025120301","Census Tract 1203.01",2297,860,392,776,0,0,67,107,15,80
1990,"25025120400","Census Tract 1204",3245,1582,225,1053,0,0,83,194,0,108
1990,"25025120500","Census Tract 1205",1042,298,322,265,0,0,0,114,6,37
1990,"25025120600","Census Tract 1206",1622,723,157,568,0,0,44,76,7,47
1990,"25025120700","Census Tract 1207",1270,607,143,424,7,0,7,69,0,13
1990,"25025130101","Census Tract 1301.01",3146,2347,262,457,0,0,18,0,20,42
1990,"25025130200","Census Tract 1302",2737,1829,279,443,0,0,0,108,21,57
1990,"25025130300","Census Tract 1303",2458,1613,188,561,0,0,0,67,3,26
1990,"25025130402","Census Tract 1304.02",2519,1730,258,312,7,7,12,112,7,74
1990,"25025130404","Census Tract 1304.04",1146,770,169,167,0,0,4,27,0,9
1990,"25025130406","Census Tract 1304.06",1953,1312,288,284,0,0,7,47,0,15
1990,"25025140102","Census Tract 1401.02",2069,1338,250,371,0,8,0,55,10,37
1990,"25025140105","Census Tract 1401.05",1576,957,157,319,9,0,4,79,20,31
1990,"25025140106","Census Tract 1401.06",1019,619,101,206,6,0,3,51,13,20
1990,"25025140107","Census Tract 1401.07",1161,705,116,235,6,0,3,58,15,23
1990,"25025140201","Census Tract 1402.01",1012,655,89,207,0,0,3,43,0,15
1990,"25025140202","Census Tract 1402.02",2666,1726,234,545,0,0,7,115,0,39
1990,"25025140300","Census Tract 1403",2317,1231,297,605,0,6,10,70,0,98
1990,"25025140400","Census Tract 1404",3913,2165,662,894,0,0,0,126,33,33
1990,"25025980300","Census Tract 9803",,,,,,,,,,
1990,"25025980700","Census Tract 9807",,,,,,,,,,
1990,"25025980900","Census Tract 9809",,,,,,,,,,
1990,"25025981000","Census Tract 9810",,,,,,,,,,
1990,"25025981100","Census Tract 9811",2,1,0,1,0,0,0,0,0,0
1990,"25025981201","Census Tract 9812.01",,,,,,,,,,
1990,"25025981202","Census Tract 9812.02",,,,,,,,,,
1990,"25025981300","Census Tract 9813",,,,,,,,,,
1990,"25025981501","Census Tract 9815.01",,,,,,,,,,
1990,"25025981502","Census Tract 9815.02",,,,,,,,,,
1990,"25025981600","Census Tract 9816",,,,,,,,,,
1990,"25025981700","Census Tract 9817",,,,,,,,,,
1990,"25025981800","Census Tract 9818",,,,,,,,,,
1990,"25025981900","Census Tract 9819",,,,,,,,,,
2000,"25025000101","Census Tract 1.01",1029,552,134,242,0,0,15,49,17,20
2000,"25025000102","Census Tract 1.02",1258,676,164,295,0,0,18,59,21,25
2000,"25025000201","Census Tract 2.01",2681,1478,237,808,0,0,24,81,18,35
2000,"25025000202","Census Tract 2.02",2172,1364,202,468,11,0,8,102,0,17
2000,"25025000301","Census Tract 3.01",1625,1004,198,343,0,0,10,45,0,25
2000,"25025000302","Census Tract 3.02",2000,1119,232,520,0,0,28,63,0,38
2000,"25025000401","Census Tract 4.01",2938,1374,213,1116,0,0,45,140,10,40
2000,"25025000402","Census Tract 4.02",2176,1118,167,635,0,3,0,142,0,111
2000,"25025000502","Census Tract 5.02",2088,879,124,929,7,0,18,71,0,60
2000,"25025000503","Census Tract 5.03",1720,541,120,922,0,0,42,69,3,23
2000,"25025000505","Census Tract 5.05",1354,426,94,725,0,0,33,55,3,18
2000,"25025000506","Census Tract 5.06",1839,579,128,985,0,0,45,74,4,24
2000,"25025000601","Census Tract 6.01",1913,1152,90,459,0,0,20,104,0,88
2000,"25025000603","Census Tract 6.03",886,311,74,386,0,0,7,86,4,18
2000,"25025000604","Census Tract 6.04",1069,375,89,465,0,0,9,104,5,22
2000,"25025000701","Census Tract 7.01",3015,1124,253,1340,14,0,69,155,34,26
2000,"25025000703","Census Tract 7.03",1509,399,82,792,4,0,34,149,0,49
2000,"25025000704","Census Tract 7.04",3020,799,163,1584,9,0,68,299,0,98
2000,"25025000804","Census Tract 8.04",1932,653,153,828,0,0,47,224,0,27
2000,"25025000805","Census Tract 8.05",2408,814,191,1030,0,0,59,280,0,34
2000,"25025000806","Census Tract 8.06",447,95,2,112,0,0,7,199,19,13
2000,"25025000807","Census Tract 8.07",443,95,2,112,0,0,6,197,18,13
2000,"25025010103","Census Tract 101.03",1754,84,49,551,0,8,51,975,0,36
2000,"25025010104","Census Tract 101.04",2865,430,107,975,29,8,134,1093,28,61
2000,"25025010204","Census Tract 102.04",1450,208,29,665,9,0,10,520,0,9
2000,"25025010205","Census Tract 102.05",1531,281,62,543,22,0,38,543,7,35
2000,"25025010206","Census Tract 102.06",1007,183,40,357,14,0,25,360,5,23
2000,"25025010300","Census Tract 103",1833,209,127,469,8,0,13,974,0,33
2000,"25025010403","Census Tract 104.03",1672,267,42,634,1,0,62,639,14,13
2000,"25025010404","Census Tract 104.04",3665,584,93,1391,3,0,135,1400,30,29
2000,"25025010405","Census Tract 104.05",1685,149,43,593,0,0,20,816,13,51
2000,"25025010408","Census Tract 104.08",841,155,34,298,12,0,21,298,4,19
2000,"25025010500","Census Tract 105",1429,280,45,693,53,0,6,305,0,47
2000,"25025010600","Census Tract 106",1422,401,40,468,17,0,9,396,24,67
2000,"25025010701","Census Tract 107.01",1563,534,61,257,17,0,34,524,19,117
2000,"25025010702","Census Tract 107.02",1788,612,70,293,20,0,39,600,21,133
2000,"25025010801","Census Tract 108.01",2179,657,46,441,41,5,33,807,32,117
2000,"25025010802","Census Tract 108.02",2144,647,45,434,40,4,33,794,31,116
2000,"25025020101","Census Tract 201.01",2866,674,69,434,47,0,7,1395,27,213
2000,"25025020200","Census Tract 202",2662,433,37,732,14,0,7,1368,23,48
2000,"25025020301","Census Tract 203.01",984,230,37,213,11,0,0,461,1,31
2000,"25025020302","Census Tract 203.02",640,152,25,136,8,0,0,298,0,21
2000,"25025020304","Census Tract 203.04",71,17,3,15,1,0,0,33,0,2
2000,"25025020305","Census Tract 203.05",1358,323,53,289,16,0,0,632,0,45
2000,"25025030100","Census Tract 301",1420,277,49,389,14,0,0,667,0,24
2000,"25025030200","Census Tract 302",1093,183,35,267,10,0,8,551,12,27
2000,"25025030301","Census Tract 303.01",675,148,19,99,3,0,0,386,6,14
2000,"25025030302","Census Tract 303.02",801,176,23,117,3,0,0,459,7,16
2000,"25025030400","Census Tract 304",2444,465,57,559,25,0,31,1241,8,58
2000,"25025030500","Census Tract 305",1797,379,58,485,21,0,10,776,8,60
2000,"25025040100","Census Tract 401",1267,554,40,342,11,0,0,211,17,92
2000,"25025040200","Census Tract 402",549,245,32,183,10,0,0,64,0,15
2000,"25025040300","Census Tract 403",2301,1097,123,741,0,0,17,265,0,58
2000,"25025040401","Census Tract 404.01",1229,525,59,446,6,0,17,126,10,40
2000,"25025040600","Census Tract 406",1317,735,110,307,0,0,5,122,0,38
2000,"25025040801","Census Tract 408.01",1528,699,173,408,0,0,0,204,4,40
2000,"25025050101","Census Tract 501.01",1781,780,225,618,5,0,0,128,0,25
2000,"25025050200","Census Tract 502",2156,620,237,1030,0,0,0,250,0,19
2000,"25025050300","Census Tract 503",497,117,38,282,6,0,0,27,27,0
2000,"25025050400","Census Tract 504",1134,322,69,631,0,0,0,106,6,0
2000,"25025050500","Census Tract 505",772,203,145,378,0,0,0,35,0,11
2000,"25025050600","Census Tract 506",1247,287,141,730,0,0,0,76,2,11
2000,"25025050700","Census Tract 507",1788,540,159,909,8,0,0,156,4,12
2000,"25025050901","Census Tract 509.01",1511,532,277,576,3,0,0,115,8,0
2000,"25025051000","Census Tract 510",1604,684,178,575,4,0,11,147,0,5
2000,"25025051101","Census Tract 511.01",2420,1183,231,958,11,0,0,28,0,9
2000,"25025051200","Census Tract 512",1110,483,87,398,0,0,0,125,10,7
2000,"25025060101","Census Tract 601.01",1598,841,59,634,7,0,0,57,0,0
2000,"25025060200","Census Tract 602",1235,664,131,359,14,0,0,37,0,30
2000,"25025060301","Census Tract 603.01",1717,858,128,587,0,0,0,144,0,0
2000,"25025060400","Census Tract 604",2642,1482,280,695,0,5,21,101,0,58
2000,"25025060501","Census Tract 605.01",1907,890,133,665,0,0,23,196,0,0
2000,"25025060601","Census Tract 606.01",656,233,83,125,40,0,0,128,21,26
2000,"25025060602","Census Tract 606.02",42,15,5,8,3,0,0,8,1,2
2000,"25025060603","Census Tract 606.03",,,,,,,,,,
2000,"25025060604","Census Tract 606.04",183,65,23,35,11,0,0,36,6,7
2000,"25025060700","Census Tract 607",365,103,21,117,0,0,0,112,0,12
2000,"25025060800","Census Tract 608",2090,1003,180,519,32,11,44,260,13,28
2000,"25025061000","Census Tract 610",951,325,130,383,0,0,14,74,5,20
2000,"25025061101","Census Tract 611.01",490,147,62,216,0,0,0,65,0,0
2000,"25025061201","Census Tract 612.01",748,251,49,384,5,0,0,48,4,7
2000,"25025061202","Census Tract 612.02",,,,,,,,,,
2000,"25025061203","Census Tract 612.03",196,66,13,100,1,0,0,13,1,2
2000,"25025061204","Census Tract 612.04",38,13,3,20,0,0,0,2,0,0
2000,"25025070102","Census Tract 701.02",673,104,59,208,5,0,0,270,0,27
2000,"25025070103","Census Tract 701.03",,,,,,,,,,
2000,"25025070104","Census Tract 701.04",324,54,25,91,2,0,0,140,0,12
2000,"25025070201","Census Tract 702.01",863,87,135,228,0,0,3,352,33,25
2000,"25025070202","Census Tract 702.02",1293,150,178,358,3,0,3,525,35,41
2000,"25025070301","Census Tract 703.01",1432,414,62,429,11,0,15,453,11,37
2000,"25025070302","Census Tract 703.02",1016,294,44,305,7,0,10,322,7,27
2000,"25025070402","Census Tract 704.02",488,104,69,144,0,0,0,154,0,17
2000,"25025070501","Census Tract 705.01",1095,360,71,312,7,0,48,252,2,43
2000,"25025070502","Census Tract 705.02",1941,639,126,554,13,0,84,446,4,75
2000,"25025070600","Census Tract 706",1634,505,36,491,6,0,15,469,6,106
2000,"25025070700","Census Tract 707",1377,400,22,491,17,0,0,340,0,107
2000,"25025070801","Census Tract 708.01",654,148,12,284,3,0,8,153,4,42
2000,"25025070802","Census Tract 708.02",1676,381,30,727,7,0,19,393,10,109
2000,"25025070901","Census Tract 709.01",540,199,29,195,0,0,10,82,6,19
2000,"25025070902","Census Tract 709.02",1139,420,62,412,0,0,20,172,12,41
2000,"25025071101","Census Tract 711.01",1452,561,28,474,7,0,20,333,17,12
2000,"25025071201","Census Tract 712.01",423,143,17,104,0,0,9,122,13,15
2000,"25025080100","Census Tract 801",595,204,165,174,0,0,0,44,8,0
2000,"25025080300","Census Tract 803",523,191,85,169,0,0,17,43,18,0
2000,"25025080401","Census Tract 804.01",753,241,80,326,6,0,44,50,0,6
2000,"25025080500","Census Tract 805",714,238,69,333,9,0,18,38,0,9
2000,"25025080601","Census Tract 806.01",714,114,90,379,10,0,9,103,9,0
2000,"25025080801","Census Tract 808.01",1203,193,64,332,8,0,10,544,6,46
2000,"25025080900","Census Tract 809",2003,484,110,917,4,7,23,413,10,35
2000,"25025081001","Census Tract 810.01",2212,519,193,1033,0,0,85,319,8,55
2000,"25025081101","Census Tract 811.01",495,155,38,236,0,0,10,48,2,6
2000,"25025081102","Census Tract 811.02",1119,350,86,535,0,0,24,108,3,13
2000,"25025081200","Census Tract 812",732,310,117,225,6,0,0,53,14,7
2000,"25025081301","Census Tract 813.01",544,231,80,178,0,0,0,38,0,17
2000,"25025081302","Census Tract 813.02",669,284,98,220,0,0,0,47,0,20
2000,"25025081400","Census Tract 814",1246,509,133,434,0,10,12,103,7,38
2000,"25025081500","Census Tract 815",677,288,148,198,6,0,0,22,0,15
2000,"25025081700","Census Tract 817",1365,537,216,486,0,0,6,77,15,28
2000,"25025081800","Census Tract 818",1147,502,152,377,25,0,8,55,12,16
2000,"25025081900","Census Tract 819",1116,542,153,356,11,0,0,26,0,28
2000,"25025082000","Census Tract 820",1045,370,197,403,7,0,0,11,9,48
2000,"25025082100","Census Tract 821",1172,481,187,448,0,0,0,11,36,9
2000,"25025090100","Census Tract 901",1747,689,311,699,0,0,0,27,0,21
2000,"25025090200","Census Tract 902",645,246,134,244,0,0,0,18,3,0
2000,"25025090300","Census Tract 903",1059,488,140,394,0,0,10,6,0,21
2000,"25025090400","Census Tract 904",972,415,184,341,0,0,0,22,10,0
2000,"25025090600","Census Tract 906",725,396,111,188,0,0,0,20,0,10
2000,"25025090700","Census Tract 907",2070,900,261,619,28,0,23,103,111,25
2000,"25025090901","Census Tract 909.01",1296,515,195,487,0,11,0,75,0,13
2000,"25025091001","Census Tract 910.01",1338,624,228,386,0,0,20,42,4,34
2000,"25025091100","Census Tract 911",2162,930,223,794,0,0,70,109,8,28
2000,"25025091200","Census Tract 912",1486,665,112,591,0,0,5,102,0,11
2000,"25025091300","Census Tract 913",885,413,89,281,5,0,0,40,26,31
2000,"25025091400","Census Tract 914",819,385,149,245,0,0,0,20,0,20
2000,"25025091500","Census Tract 915",1625,759,185,525,18,0,6,115,6,11
2000,"25025091600","Census Tract 916",1166,481,222,405,10,0,2,43,0,3
2000,"25025091700","Census Tract 917",1245,493,227,446,3,0,8,40,15,13
2000,"25025091800","Census Tract 918",1363,666,291,342,7,0,0,40,0,17
2000,"25025091900","Census Tract 919",1316,544,154,522,18,0,0,18,19,41
2000,"25025092000","Census Tract 920",1904,891,195,652,13,0,7,114,11,21
2000,"25025092101","Census Tract 921.01",2652,1275,460,695,40,0,0,163,12,7
2000,"25025092200","Census Tract 922",1739,913,229,505,0,0,16,33,17,26
2000,"25025092300","Census Tract 923",1159,462,177,448,27,0,0,15,0,30
2000,"25025092400","Census Tract 924",1922,791,307,717,14,0,0,27,0,66
2000,"25025100100","Census Tract 1001",1451,634,220,519,0,0,0,57,0,21
2000,"25025100200","Census Tract 1002",804,408,98,281,0,0,0,12,0,5
2000,"25025100300","Census Tract 1003",1392,630,237,467,9,0,0,15,18,16
2000,"25025100400","Census Tract 1004",2194,1054,235,724,0,0,0,73,22,86
2000,"25025100500","Census Tract 1005",2327,1154,260,771,0,11,0,40,38,53
2000,"25025100601","Census Tract 1006.01",2208,1188,227,683,13,0,0,69,0,28
